Param Name,Description,Param Type,Default Value,Enum Values
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Dropped Frames Record Behavior,,enum,0,"Continue, Stop"
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Filename Prefix,,string,clip,
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration Extent,,enum,0,"Unlimited, Fixed, Long Single Segment"
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (hours),,integer,6,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Recording Duration (minutes),,integer,0,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
Starting Segment Number,,integer,1,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
File Segment Record Duration (minutes),,integer,60,
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Recording File Type,,enum,1,"MOV, TS, MP4"
Streaming Profile,,enum,0,", , , , , , , , , "
Streaming Profile Name,,string,Streaming Profile Name,
Streaming Profile Name,,string,Streaming Profile Name 1,
Streaming Profile Name,,string,Streaming Profile Name 2,
Streaming Profile Name,,string,Streaming Profile Name 3,
Streaming Profile Name,,string,Streaming Profile Name 4,
Streaming Profile Name,,string,Streaming Profile Name 5,
Streaming Profile Name,,string,Streaming Profile Name 6,
Streaming Profile Name,,string,Streaming Profile Name 7,
Streaming Profile Name,,string,Streaming Profile Name 8,
Streaming Profile Name,,string,Streaming Profile Name 9,
Streaming Profile Name,,string,Streaming Profile Name 10,
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Frame Rate,,enum,0,"Full, Half, Quarter"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Video Geometry,,enum,0,"Use Selected Input, Manual"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Lock Aspect Ratio,,enum,0,"Off, On"
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Width,,integer,1280,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Height,,integer,720,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Video Bit Rate,,integer,20000,
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Audio Bit Rate,,enum,3,"32 kbps, 64 kbps, 96 kbps, 128 kbps, 192 kbps, 256 kbps"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
Advanced Settings,,enum,0,"Hide, Show"
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
I-Frame [GOP] Every,,integer,120,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
P Interval,,integer,1,
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
H.264 Encoding Profile,,enum,2,"Constrained, Baseline, Main, High"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Slices Per Frame,,enum,1,"1, 2, 4, 8"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Entropy Coding,,enum,0,"CABAC, CAVLC"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Display Aspect Ratio,,enum,0,"Auto, 4:3, 16:9, 17:9"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
Stream Type,,enum,3,"RTMP, RTSP, RTP / UDP-TS, HLS"
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Server URL,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Stream Key/Name,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Username,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Password,,string,,
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTMP Handshake Mode,,enum,0,"Auto, Mode 1, Mode 2, Mode 3, Mode 4"
RTSP Stream Name,,string,Stream,
RTSP Stream Name,,string,Stream1,
RTSP Stream Name,,string,Stream2,
RTSP Stream Name,,string,Stream3,
RTSP Stream Name,,string,Stream4,
RTSP Stream Name,,string,Stream5,
RTSP Stream Name,,string,Stream6,
RTSP Stream Name,,string,Stream7,
RTSP Stream Name,,string,Stream8,
RTSP Stream Name,,string,Stream9,
RTSP Stream Name,,string,Stream10,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Port,,integer,554,
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Authentication,,enum,0,"None, Basic, Digest"
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Username,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTSP Password,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
RTP / UDP-TS Destination URL,,string,,
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Dropped Frames Stream Behavior,,enum,0,"Continue, Stop"
Factory Reset,,enum,0,"UP (2 sec)=Recall, same as FAC, HARD FACTORY"
Board ID,,string,10597500,
Locale,,enum,0,"English, 日本語 - Japanese, 한국어 - Korean, 中文 - Chinese"
Identify LED,,enum,0,"Off, On"
Factory Reset LED State,,enum,0,"Uninitialized, Begin, Done"
Input Format,,enum,0,"No Input, Error, 1920x1080i 30, 1920x1080i 29.97, 1920x1080i 25, 1920x1080PsF 30, 1920x1080PsF 29.97, 1920x1080PsF 25, 1920x1080PsF 24, 1920x1080PsF 23.98, 1280x720p 60, 1280x720p 59.94, 1280x720p 50, 720x486i 29.97, 720x576i 25, 1920x1080p 60, 1920x1080p 59.94, 1920x1080p 50, 1920x1080p 30, 1920x1080p 29.97, 1920x1080p 25, 1920x1080p 24, 1920x1080p 23.98, 2048x1080i 30, 2048x1080i 29.97, 2048x1080i 25, 2048x1080PsF 30, 2048x1080PsF 29.97, 2048x1080PsF 25, 2048x1080PsF 24, 2048x1080PsF 23.98, 2048x1080p 60, 2048x1080p 59.94, 2048x1080p 50, 2048x1080p 30, 2048x1080p 29.97, 2048x1080p 25, 2048x1080p 24, 2048x1080p 23.98"
Closed Captioning,,enum,0,"Disabled, Not Detected, Detected"
HDMI Input Format,,enum,0,"No Input, Error, 1920x1080i 30, 1920x1080i 29.97, 1920x1080i 25, 1280x720p 60, 1280x720p 59.94, 1280x720p 50, 720x486i 29.97, 720x576i 25, 1920x1080p 60, 1920x1080p 59.94, 1920x1080p 50, 1920x1080p 30, 1920x1080p 29.97, 1920x1080p 25, 1920x1080p 24, 1920x1080p 23.98"
Media ready to record,,enum,0,"False, True"
Enable HDMI Monitor,,enum,1,"Off, On"
Secondary media ready to record,,enum,0,"False, True"
Panel Locked,,enum,0,"Off, On"
Clip to be deleted,,string,,
Storage Path,,string,,
Secondary Storage Path,,string,,
Storage Command,,enum,0,"None, Acquire, Release, Erase, AcquireSecondary, ReleaseSecondary"
Storage Alarm Status,,enum,0,"None, Invalid Media, Format Failed"
Storage File Size Bits,,integer,31,
Secondary storage File Size Bits,,integer,31,
Clip to be deleted on secondary recording destination,,string,,
Change Slot Request,,enum,0,"NotChange/Success, Next, Media Unformatted, Backup and Reformat, Media Low Capacity, Media Not Present, Please Reboot, Media In Use"
Current Media Mounted,,enum,0,"False, True"
Capacity Remaining,,integer,0,
Storage Volume Name,,string,,
Media Loading,,enum,0,"Operation Complete, Media Mounting, Unmounting Media"
Filesystem Type,,string,,
User-Friendly Recording Path,,string,,
Free Space Primary,,string,0,
Total Space Primary,,string,0,
Secondary Media Mounted,,enum,0,"False, True"
Capacity Remaining,,integer,0,
Storage Volume Name,,string,,
Secondary Change Slot Request,,enum,0,"NotChange/Success, Next, Media Unformatted, Backup and Reformat, Media Low Capacity, Media Not Present, Please Reboot, Media In Use"
Secondary Filesystem Type,,string,,
User-Friendly Secondary Recording Path,,string,,
Free Space Secondary,,string,0,
Total Space Secondary,,string,0,
Current Clip,,string,N/A,
Clip Time Offset,,integer,0,
Replicator Command,,enum,0,"No Command, Record Command, Stop Recording Command, Stream Command, Stop Streaming Command, Shutdown"
